titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster
剑仙在此 第二季,Jian Xian Zaici 2,,2024-01-27,2024,,1,50.0,Xing Yi Kai Chen,Action | Comedy | Fantasy,Unknown,ONA,FINISHED,161,,67.0,,,,,,,,2
“杀手”古德,Shashou Good,,2023-06-15,2023,,1,26.0,Chuangqi Studio,Action | Comedy,Unknown,ONA,FINISHED,161,,46.0,,,,,,,,3
洪荒灵尊,Honghuang Ling Zun,,2023-09-10,2023,,1,60.0,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,161,,56.0,,,,,,,,2
画江湖之不良人Ⅶ,Hua Jianghu: Buliang Ren 7,,2025-03-27,2025,,1,12.0,Unknown,Adventure | Drama | Fantasy,Unknown,ONA,FINISHED,160,,70.0,,,,,,,,2
能登半島復興応援企画,Noto Hantou Fukkou Ouen Kikaku,,2026-01-01,2026,,1,2.0,ROLL2 | EVOLROAR,Slice of Life,Unknown,ONA,FINISHED,158,,62.0,,,,,,,,1
SUPER NINJA NEKO,SUPER NINJA NEKO,,2025-08-13,2025,,1,1.0,Unknown,Action,Unknown,ONA,FINISHED,157,47.0,51.0,,,,,,,,3
君子无疾,Junzi Wu Ji,,2025-02-12,2025,,1,16.0,Unknown,Fantasy | Romance,Unknown,ONA,FINISHED,157,,70.0,,,,,,,,1
剑网3·侠肝义胆沈剑心 第三季 下卷,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 3 Part 2,"JX Online 3: The Adventure of Shen Jianxin, Season 3 Volume 2",2024-01-26,2024,,2,12.0,Shengying Animation,Action | Adventure | Drama | Fantasy,Unknown,ONA,FINISHED,157,,57.0,,,,,,,,2
忍ばない！クリプトニンジャ咲耶　弐ノ巻,Shinobanai! Crypto Ninja Sakuya Ni no Maki,,2024-01-10,2024,WINTER 2024,2,12.0,Fanworks,Action | Comedy,Unknown,TV_SHORT,FINISHED,156,,46.0,,,,,,,,3
从姑获鸟开始之龙城风云,Cong Gu Huo Niao Kaishi: Long Cheng Fengyun,,2024-06-08,2024,,1,16.0,Unknown,Action | Fantasy,Unknown,ONA,FINISHED,156,,72.0,,,,,,,,2
原神 元夜灯火,Yuanshen: Yuanye Denghuo,Genshin Impact: The Lights of Lantern Rite,2025-02-12,2025,,1,1.0,miHoYo Anime,Fantasy | Slice of Life,Unknown,ONA,FINISHED,156,,66.0,,,,,,,,1
すみっコぐらし そらいろのまいにち,Sumikko Gurashi: Sorairo no Mainichi,,2023-10-26,2023,FALL 2023,1,5.0,Fanworks,Slice of Life,Kids,TV_SHORT,FINISHED,156,,64.0,,,,,,,,1
我能无限顿悟,Wo Neng Wuxian Dunwu,,2024-10-26,2024,,1,52.0,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,156,,69.0,,,,,,,,2
中国奇谭2,Zhongguo Qitan 2,,2026-01-01,2026,,1,9.0,Shanghai Animation Film Studio,Fantasy,Unknown,ONA,FINISHED,155,,72.0,,,,,,,,1
モンストアニメ『マサムネ　- 使命の赤き刃 -』,Monster Strike Anime: Masamune - Shimei no Akaki Yaiba,,2023-12-29,2023,FALL 2023,2,2.0,YAMATO WORKS,Action,Unknown,ONA,FINISHED,154,,53.0,,,,,,,,3
仙武传 第四季,Xianwu Zhuan 4,,2025-09-06,2025,,1,52.0,Xiaoming Taiji,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,154,,78.0,,,,,,,,2
少年白马醉春风 第二季,Shaonian Bai Ma Zui Chun Feng 2nd Season,,2024-07-17,2024,,1,26.0,CG Year,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,154,,70.0,,,,,,,,2
その警察官、ときどき野獣！,"Sono Keisatsukan, Tokidoki Yajuu!",,2025,2025,,1,,Rabbit Gate,Comedy | Drama | Ecchi | Romance,Josei,TV,CANCELLED,154,,80.0,,,,,,,,1
无尽神域,Wujin Shenyu,,2024-08-18,2024,,1,80.0,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,153,,62.0,,,,,,,,2
ちびぜんじ先生 居残り講義録,Chibizenji-sensei Inokori Kougiroku,,2025-04-08,2025,SPRING 2025,1,12.0,Dou-Raku,Comedy | Mystery,Unknown,ONA,FINISHED,153,,55.0,,,,,,,,3
ガールズフィスト!!!! GT,Girls' F1st!!!! GT,,2024-05-22,2024,SPRING 2024,1,13.0,Unknown,Comedy | Music,Unknown,ONA,FINISHED,152,,55.0,,,,,,,,3
剑骨,Jian Gu,,2023-06-16,2023,,1,60.0,Soyep,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,151,,55.0,,,,,,,,2
小绿和小蓝 第五季,Xiaolü He Xiaolan 5,,2024-03-13,2024,,1,12.0,Big Firebird Cultural Media,Comedy | Drama | Fantasy,Unknown,ONA,FINISHED,150,,61.0,,,,,,,,1
SHIBUYA♡HACHI 第2クール,SHIBUYA♡HACHI Part 2,,2024-10-05,2024,FALL 2024,2,12.0,Nippon Animation,Slice of Life,Kids,TV_SHORT,FINISHED,150,,51.0,,,,,,,,3
武碎星河,Wu Sui Xinghe,Martial Conqueror of the Cosmos,2025-08-17,2025,,1,60.0,Soyep,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,149,,68.0,,,,,,,,2
SHIBUYA♡HACHI 第3クール,SHIBUYA♡HACHI Part 3,,2025-04-05,2025,SPRING 2025,2,13.0,Nippon Animation,Slice of Life,Kids,TV_SHORT,FINISHED,149,,55.0,,,,,,,,3
プリマ・らびっと,Prima Rabbit,Prima Rabbit,2024-04-29,2024,SPRING 2024,1,1.0,Studio Nanahoshi,Drama | Sports,Unknown,ONA,FINISHED,148,,52.0,,,,,,,,3
龙破九天,Long Po Jiutian,Dragon's Triumph in the Celestial Realm,2026-02-11,2026,,1,40.0,Dancing CG Studio,Action | Fantasy,Unknown,ONA,RELEASING,147,,54.0,,,,,,,,3
ブラックジャックやねん,Black Jack Yanen,,2026-01-08,2026,WINTER 2026,1,12.0,DLE,Comedy,Unknown,ONA,FINISHED,146,,48.0,,,,,,,,3
一世独尊 第二季,Yishi Du Zun 2nd Season,,2024-09-14,2024,,1,120.0,Xing Yi Kai Chen,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,145,,62.0,,,,,,,,2
九天玄帝诀 第五季,Jiu Tian Xuan Di Jue 5,,2023-11-20,2023,,1,52.0,Ruo Hong Culture,Action | Fantasy,Unknown,ONA,FINISHED,145,,58.0,,,,,,,,3
ゴー！ゴー！びーくるずー,Go! Go! Vehicle Zoo,,2023-04-02,2023,SPRING 2023,2,26.0,Signal.MD | OLM,Slice of Life,Kids,TV_SHORT,FINISHED,145,,54.0,,,,,,,,3
仙剑奇侠传三,Xian Jian Qi Xia Zhuan 3,,2025-12-30,2025,,1,26.0,Year Young Culture,Fantasy,Unknown,ONA,RELEASING,144,,62.0,,,,,,,,1
鬼吹灯之南海归墟 ,Gui Chui Deng: Nan Hai Gui Xu,,2025-08-23,2025,,1,17.0,Wonder Cat Animation | Original Force,Adventure | Fantasy | Thriller,Unknown,ONA,FINISHED,144,,55.0,,,,,,,,3
クマーバ,Kumarba,,2024-04-06,2024,SPRING 2024,2,12.0,Creative House Pocket,Action | Comedy,Kids,TV_SHORT,FINISHED,144,,40.0,,,,,,,,3
まぁるい彼女と残念な彼氏 第2期,Maarui Kanojo to Zannen na Kareshi 2nd Season,,2024-11-16,2024,FALL 2024,1,6.0,Imageworks Studio,Comedy | Romance,Unknown,TV_SHORT,FINISHED,143,,52.0,,,,,,,,3
胶囊计划 第二届,Jiaonang Jihua 2,,2023-12-05,2023,,2,13.0,Unknown,Action | Drama | Sci-Fi | Supernatural,Unknown,ONA,FINISHED,143,,62.0,,,,,,,,1
金吾卫之风起金陵,Jinwu Wei: Feng Qi Jingling,,2024-05-18,2024,,1,16.0,CG Year,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,143,,64.0,,,,,,,,2
半神之境,Ban Shen Zhi Jing,,2023-06-21,2023,,1,20.0,Unknown,Action | Fantasy,Unknown,ONA,FINISHED,143,,55.0,,,,,,,,3
太古战魂,Taigu Zhan Hun,,2025-04-12,2025,,1,40.0,Tang Kirin Culture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,142,,64.0,,,,,,,,2
눈치 없는 돌쇠,Nunchi Eobsneun Dolsoe,,2023-05-16,2023,,1,6.0,Laftel,Comedy,Unknown,ONA,FINISHED,142,,53.0,,,,,,,,3
마귀,Magwi,,2023-02-28,2023,,1,10.0,Laftel,Drama | Fantasy | Romance,Unknown,ONA,FINISHED,141,,27.0,,,,,,,,3
赤いきつね 緑のたぬきウェブCM: ひとりのよると赤緑,Akai Kitsune Midori no Tanuki Web CM: Hitori no Yoru to Akamidori,,2025-02-06,2025,,1,2.0,Suzume | Andraft,Drama,Unknown,ONA,FINISHED,141,,63.0,,,,,,,,1
레인보우 버블젬,Rainbow Bubblegem,Rainbow Bubblegem,2023-08-30,2023,,2,26.0,Campfire Aniworks,Adventure | Comedy | Fantasy | Mahou Shoujo,Kids,TV_SHORT,FINISHED,140,,73.0,,,,,,,,2
現代誤訳,Gendai Goyaku,,2024-07-07,2024,SUMMER 2024,1,12.0,ILCASHIPS,Comedy,Unknown,TV,FINISHED,140,,40.0,,,,,,,,3
MUZIK TIGER In the Forest 第2期 ,MUZIK TIGER In the Forest 2,,2025-10-01,2025,FALL 2025,1,17.0,TOHO animation STUDIO,Slice of Life,Unknown,TV_SHORT,FINISHED,139,,54.0,,,,,,,,3
ぷにるんず ぷに３,Punirunes Puni 3,,2025-07-05,2025,SUMMER 2025,1,26.0,OLM,Slice of Life,Kids,TV_SHORT,FINISHED,139,,58.0,,,,,,,,3
PIHOTEK(ピヒュッティ) 北極を風と歩く,PIHOTEK: Hokkyoku wo Kaze to Aruku,PIHOTEK,2024-09-06,2024,SUMMER 2024,1,1.0,Fanworks,Adventure,Unknown,ONA,FINISHED,138,,49.0,,,,,,,,3
ぽちゃーズ,Pochars,,2024-10-09,2024,FALL 2024,1,,DLE,Comedy | Slice of Life,Unknown,TV_SHORT,RELEASING,136,,59.0,,,,,,,,3
うそ探偵トマント,Uso Tantei Tomanto,,2025-10-06,2025,FALL 2025,1,26.0,Fanworks,Mystery,Kids,TV_SHORT,FINISHED,136,,51.0,,,,,,,,3
おしりたんてい(第9シリーズ),Oshiri Tantei 9,,2025-04-05,2025,SPRING 2025,2,8.0,Toei Animation,Comedy | Fantasy | Mystery,Unknown,TV,FINISHED,136,,30.0,,,,,,,,3
アルプスの老人ハイジのおじいさん,Alps no Roujin Heidi no Ojii-san,,2024-12-18,2024,WINTER 2025,1,12.0,DLE,Comedy,Unknown,ONA,FINISHED,135,,40.0,,,,,,,,3
おでかけ子ザメ倉敷市コラボムービー,Odekake Kozame Kurashiki-shi Collab Movie,,2025-10-16,2025,FALL 2025,1,1.0,ENGI,Slice of Life,Unknown,ONA,FINISHED,134,,68.0,,,,,,,,1
全力ウサギ (2023),Zenryoku Usagi (2023),,2023-10-07,2023,FALL 2023,2,12.0,Rising Force,Comedy,Kids,TV_SHORT,FINISHED,134,,45.0,,,,,,,,3
明日方舟新春会 灶里乾坤,Arknights Xin​chun Hui: Zao Li Qian​kun,,2025-01-19,2025,,1,1.0,Studio MAGICPOT,Fantasy,Unknown,ONA,FINISHED,133,,68.0,,,,,,,,1
ヤニねこ ミニ,Yani Neko Mini,,2026-02-22,2026,WINTER 2026,1,,Unknown,Comedy,Unknown,ONA,RELEASING,132,,65.0,,,,,,,,1
ゲルぴよ,GelPiyo,,2026-01-21,2026,WINTER 2026,1,10.0,ODDJOB | SUGARLESS FACTORY,Comedy,Unknown,TV_SHORT,FINISHED,131,,42.0,,,,,,,,3
부탁이니 죽어주라,Butagini Jugeojura,,2023-05-31,2023,,1,11.0,Laftel,Fantasy | Romance,Unknown,ONA,FINISHED,131,,56.0,,,,,,,,3
天命大主宰,Tianming Da Zhuzai,,2025-01-15,2025,,1,40.0,Ruo Hong Culture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,130,,63.0,,,,,,,,2
犬之茗,Quan Zhi Ming,The Dog's Tea,2023-10-06,2023,,1,11.0,TRCARTOON,Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,129,,68.0,,,,,,,,2
炸裂！あまびえ姫。Season2,Sakuretsu! Amabie-hime. Season2,,2023-04-09,2023,SPRING 2023,2,12.0,Unknown,Comedy,Unknown,TV_SHORT,FINISHED,127,,50.0,,,,,,,,3
救我,Jiu Wo,Save Me,2024-07-14,2024,,1,1.0,Nice Boat Animation | Mote Stop-Motion Animation,Drama | Horror,Unknown,ONA,FINISHED,127,,47.0,,,,,,,,3
あげおとティム,Ageo to Tim,,2024-04-02,2024,SPRING 2024,1,12.0,Shogakukan Music & Digital Entertainment,Comedy,Kids,TV_SHORT,FINISHED,126,,37.0,,,,,,,,3
おたくちゃんズ,Otaku-chans,,2023-03-16,2023,SPRING 2023,1,80.0,Unknown,Comedy,Unknown,ONA,FINISHED,126,,50.0,,,,,,,,3
