titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster_trends
ダンダダン 第2期,Dandadan 2nd Season,DAN DA DAN Season 2,2025-07-04,2025,SUMMER 2025,2,12.0,Science SARU,Action | Comedy | Drama | Romance | Sci-Fi | Supernatural,Shounen,TV,FINISHED,205168,83.0,83.0,0.0,7.0,5.0,0.0,0.0,2.4,False,1
SAKAMOTO DAYS,SAKAMOTO DAYS,SAKAMOTO DAYS,2025-01-11,2025,WINTER 2025,2,11.0,TMS Entertainment,Action | Comedy,Shounen,ONA,FINISHED,201061,76.0,76.0,7.0,9.0,10.0,6.0,8.0,8.0,False,0
天国大魔境,Tengoku Daimakyou,Tengoku Daimakyo,2023-04-01,2023,SPRING 2023,1,13.0,Production I.G,Adventure | Mystery | Sci-Fi | Thriller,Seinen,TV,FINISHED,200674,81.0,81.0,4.0,7.0,1.0,1.0,6.0,3.8,False,1
葬送のフリーレン 第2期,Sousou no Frieren 2nd Season,Frieren: Beyond Journey’s End Season 2,2026-01-16,2026,WINTER 2026,2,10.0,MADHOUSE,Adventure | Drama | Fantasy,Shounen,TV,FINISHED,193055,88.0,88.0,0.0,0.0,1.0,0.0,0.0,0.2,False,1
Dr.STONE NEW WORLD,Dr. STONE: NEW WORLD,Dr. STONE New World,2023-04-06,2023,SPRING 2023,2,11.0,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,189495,81.0,81.0,0.0,1.0,0.0,0.0,1.0,0.4,False,1
山田くんとLv999の恋をする,Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999,2023-04-02,2023,SPRING 2023,1,13.0,MADHOUSE,Comedy | Drama | Romance,Shoujo,TV,FINISHED,188046,77.0,77.0,1.0,27.0,5.0,1.0,2.0,7.2,True,0
無職転生Ⅱ ～異世界行ったら本気だす～ 第2クール,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,2024-04-08,2024,SPRING 2024,2,12.0,Studio Bind,Adventure | Drama | Ecchi | Fantasy,Unknown,TV,FINISHED,184072,83.0,83.0,0.0,1.0,0.0,0.0,0.0,0.2,False,1
時々ボソッとロシア語でデレる隣のアーリャさん,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,Alya Sometimes Hides Her Feelings in Russian,2024-07-03,2024,SUMMER 2024,2,12.0,Doga Kobo,Comedy | Romance | Slice of Life,Unknown,TV,FINISHED,182369,75.0,75.0,14.0,18.0,11.0,7.0,10.0,12.0,True,0
薬屋のひとりごと 第2期,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,2025-01-10,2025,WINTER 2025,2,24.0,TOHO animation STUDIO | OLM,Drama | Mystery,Seinen,TV,FINISHED,180287,88.0,88.0,1.0,16.0,11.0,0.0,3.0,6.2,True,1
薫る花は凛と咲く,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,2025-07-06,2025,SUMMER 2025,1,13.0,CloverWorks,Comedy | Drama | Romance,Shounen,TV,FINISHED,179647,85.0,85.0,4.0,9.0,8.0,2.0,10.0,6.6,False,1
